job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
add_size_checked,TRUE,30,185,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.03,0,0,0,0,0,0
add_size_saturating,TRUE,26,168,0,0,0,0,0.06,0.06,0.01,0,0.01,0.01,0.07,0,0,0,0,0,0
array_eq,TRUE,470,2186,0,52,0,0,1.44,1.44,0.05,0,0.01,0.01,1.53,0,0.01,0,0,0,0
array_eq_c_str,TRUE,602,2617,0,57,0,0,0.89,0.89,0.03,0,0.01,0.01,0.96,0,0.01,0,0,0,0
array_eq_c_str_ignore_case,TRUE,99,578,0,11,0,0,0.08,0.08,0.01,0,0,0.01,0.11,0,0.01,0,0,0,0
array_eq_c_str_ignore_case2,TRUE,99,583,0,11,0,0,0.07,0.07,0.01,0,0,0.01,0.1,0,0.01,0,0,0,0
array_eq_c_str2,TRUE,530,2288,0,51,0,0,0.67,0.67,0.02,0,0,0.01,0.73,0,0.01,0,0,0,0
array_eq_ignore_case,TRUE,258,2760,0,28,0,0,0.97,0.97,0.13,0,0,0.02,1.19,0,0.04,0,0,0,0
array_eq_ignore_case2,TRUE,191,2445,0,22,0,0,0.56,0.56,0.1,0,0.01,0.02,0.72,0,0.03,0,0,0,0
array_eq2,TRUE,406,1881,0,46,0,0,1.2,1.2,0.02,0,0.01,0.01,1.24,0,0.01,0,0,0,0
array_list_back,TRUE,237,1145,2,5,0,0,0.2,0.2,0.07,0,0.01,0.01,0.3,0,0.01,0,0,0,0
array_list_back2,TRUE,197,898,2,2,0,0,0.19,0.19,0.04,0,0.01,0.01,0.26,0,0.01,0,0,0,0
array_list_capacity,TRUE,182,896,0,3,0,0,0.17,0.17,0.04,0,0.01,0.01,0.24,0,0.01,0,0,0,0
array_list_capacity2,TRUE,135,626,0,0,0,0,0.18,0.18,0.03,0,0.01,0.01,0.23,0,0,0,0,0,0
array_list_clean_up,TRUE,75,398,0,0,0,0,0.01,0.01,0.02,0,0.01,0.01,0.04,0,0,0,0,0,0
array_list_clear,TRUE,133,633,0,0,0,0,0.53,0.53,0.03,0,0.01,0.01,0.58,0,0,0,0,0,0
array_list_clear2,TRUE,137,646,0,0,0,0,0.52,0.52,0.03,0,0,0.01,0.56,0,0,0,0,0,0
array_list_comparator_string,TRUE,429,2820,2,55,0,0,6.22,6.22,0.05,0,0.01,0.03,6.34,0,0.02,0,0,0,0
array_list_copy,TRUE,300,1410,0,8,0,0,0.85,0.85,0.06,0,0.01,0.01,0.95,0,0.01,0,0,0,0
array_list_ensure_capacity,TRUE,219,1116,0,7,0,0,0.71,0.71,0.08,0,0.01,0.01,0.83,0,0.01,0,0,0,0
array_list_ensure_capacity2,TRUE,183,882,0,4,0,0,0.73,0.73,0.04,0,0.01,0.01,0.81,0,0.01,0,0,0,0
array_list_erase,TRUE,275,1356,8,3,0,0,3.31,3.31,0.08,0,0.01,0.01,3.44,0,0.02,0,0,0,0
array_list_erase2,TRUE,252,1185,8,0,0,0,3.24,3.24,0.04,0,0.01,0.01,3.33,0,0.01,0,0,0,0
array_list_front,TRUE,231,1113,0,7,0,0,0.2,0.2,0.05,0,0.01,0.01,0.29,0,0.01,0,0,0,0
array_list_front2,TRUE,191,866,0,4,0,0,0.19,0.19,0.03,0,0.01,0.01,0.24,0,0.01,0,0,0,0
array_list_get_at,TRUE,234,1135,2,5,0,0,0.47,0.47,0.05,0,0.01,0.01,0.56,0,0.01,0,0,0,0
array_list_get_at_ptr,TRUE,223,1091,0,3,0,0,0.21,0.21,0.05,0,0.01,0.01,0.3,0,0.01,0,0,0,0
array_list_get_at_ptr2,TRUE,182,842,0,0,0,0,0.22,0.22,0.04,0,0.01,0.01,0.27,0,0,0,0,0,0
array_list_get_at2,TRUE,194,888,2,2,0,0,0.38,0.38,0.04,0,0.01,0.01,0.44,0,0.01,0,0,0,0
array_list_init_dynamic,TRUE,118,587,0,0,0,0,0.32,0.32,0.03,0,0.01,0.01,0.37,0,0,0,0,0,0
array_list_init_static,TRUE,151,742,0,3,0,0,0.37,0.37,0.04,0,0.01,0.01,0.44,0,0.01,0,0,0,0
array_list_init_static2,TRUE,122,580,0,0,0,0,0.36,0.36,0.03,0,0.01,0.01,0.4,0,0,0,0,0,0
array_list_length,TRUE,180,896,0,3,0,0,0.19,0.19,0.03,0,0.01,0.01,0.24,0,0.01,0,0,0,0
